exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error,original_r,error
16,1,5,2,25,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0855554399676
16,2,5,2,50,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0146245533303
16,3,5,2,75,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0155809596648
16,4,5,2,100,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0174629851998
16,5,5,2,125,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0179694534825
16,6,5,2,150,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0181383007456
16,7,5,2,175,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182023497256
16,8,5,2,200,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182283460494
16,9,5,2,225,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182389786566
16,10,5,2,250,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182429599352
16,11,5,2,275,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182439464964
16,12,5,2,300,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182435755742
16,13,5,2,325,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.01824261399
16,14,5,2,350,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182414306742
16,15,5,2,375,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182402043482
16,16,5,2,400,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182390198084
16,17,5,2,25,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.104887567292
16,18,5,2,50,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00839286722858
16,19,5,2,75,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.0062975062185
16,20,5,2,100,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00558298456285
16,21,5,2,125,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00566213213912
16,22,5,2,150,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00567421765847
16,23,5,2,175,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00564545312158
16,24,5,2,200,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00561199347784
16,25,5,2,225,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00558224775667
16,26,5,2,250,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00555754810151
16,27,5,2,275,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00553742582287
16,28,5,2,300,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00552106510617
16,29,5,2,325,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00550769938767
16,30,5,2,350,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00549669882651
16,31,5,2,375,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00548756877877
16,32,5,2,400,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00547992656734
16,33,5,2,25,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.11437169945
16,34,5,2,50,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.0135478641208
16,35,5,2,75,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00185955625541
16,36,5,2,100,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00153451339255
16,37,5,2,125,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.0014086325638
16,38,5,2,150,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00129374064078
16,39,5,2,175,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00129318721738
16,40,5,2,200,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00129791026321
16,41,5,2,225,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00129414387152
16,42,5,2,250,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00128792635564
16,43,5,2,275,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00128142428668
16,44,5,2,300,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00127539171221
16,45,5,2,325,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00127004506076
16,46,5,2,350,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00126539575351
16,47,5,2,375,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00126138207003
16,48,5,2,400,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00125792224113
16,49,5,2,25,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.117286539199
16,50,5,2,50,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.0155325005918
16,51,5,2,75,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.0028462492589
16,52,5,2,100,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.000613659421795
16,53,5,2,125,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.000522576052247
16,54,5,2,150,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.000494521791322
16,55,5,2,175,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.000461562959308
16,56,5,2,200,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.000432818250006
16,57,5,2,225,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.000430218096666
16,58,5,2,250,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.00043239310485
16,59,5,2,275,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.000432077268905
16,60,5,2,300,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.000430736096146
16,61,5,2,325,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.000429032091147
16,62,5,2,350,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.000427267844942
16,63,5,2,375,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.000425578262823
16,64,5,2,400,10,0.413955498978017,0.413546395900101,-0.656188713619074,0.41470899985209,0.413972673731322,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000613659421795,0.00133032338754,100,0.000424018259854
16,65,5,2,25,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.119538455505
16,66,5,2,50,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.0164748704237
16,67,5,2,75,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.00329232227574
16,68,5,2,100,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.000891230301404
16,69,5,2,125,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.000256459553347
16,70,5,2,150,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.000224488565581
16,71,5,2,175,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.000213726671083
16,72,5,2,200,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.000202535917871
16,73,5,2,225,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.000191588054506
16,74,5,2,250,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.000181983923302
16,75,5,2,275,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.000180276593978
16,76,5,2,300,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.000181316239555
16,77,5,2,325,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.000181461241621
16,78,5,2,350,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.000181161589859
16,79,5,2,375,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.000180651876566
16,80,5,2,400,10,0.413794112566877,0.413980476493352,-0.656796357495967,0.414741553883621,0.414278058783199,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000256459553347,0.000554903608059,125,0.000180056363378
16,81,5,2,25,10,0.414101983591157,0.414253476278639,-0.657140916000612,0.414395469853505,0.414388933298288,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000125041269041,0.000270244496412,150,0.12138703205
16,82,5,2,50,10,0.414101983591157,0.414253476278639,-0.657140916000612,0.414395469853505,0.414388933298288,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000125041269041,0.000270244496412,150,0.0169886311675
16,83,5,2,75,10,0.414101983591157,0.414253476278639,-0.657140916000612,0.414395469853505,0.414388933298288,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000125041269041,0.000270244496412,150,0.00352733318784
16,84,5,2,100,10,0.414101983591157,0.414253476278639,-0.657140916000612,0.414395469853505,0.414388933298288,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000125041269041,0.000270244496412,150,0.0010352746988
16,85,5,2,125,10,0.414101983591157,0.414253476278639,-0.657140916000612,0.414395469853505,0.414388933298288,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000125041269041,0.000270244496412,150,0.000356768185556
16,86,5,2,150,10,0.414101983591157,0.414253476278639,-0.657140916000612,0.414395469853505,0.414388933298288,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000125041269041,0.000270244496412,150,0.000125041269041
